,Year,Week,SMN,SMT,VCI,TCI,VHI
0,1981,36.0,0.41,289.06,41.73,65.08,53.4
1,1981,37.0,0.39899999999999997,288.68,45.99,53.01,49.5
2,1981,38.0,0.384,288.05,46.69,45.4,46.05
3,1981,39.0,0.36700000000000005,287.13,47.02,39.11,43.06
4,1981,40.0,0.344,285.93,46.78,34.2,40.49
5,1981,41.0,0.319,284.29,47.73,32.2,39.96
6,1981,42.0,0.289,282.05,48.28,36.9,42.59
7,1981,43.0,0.256,278.63,47.52,52.89,50.2
8,1981,44.0,0.21600000000000003,274.96,42.63,66.41,54.52
9,1981,45.0,0.177,271.45,35.08,72.51,53.79
10,1981,46.0,0.14,266.9,27.87,79.41,53.64
11,1981,47.0,0.113,262.48,24.3,87.65,55.97
12,1981,48.0,0.095,258.87,23.15,93.26,58.2
13,1981,49.0,0.08,255.96,20.97,95.82,58.4
14,1981,50.0,0.071,253.68,17.84,96.16,57.0
15,1981,51.0,0.065,252.03,17.5,95.6,56.55
16,1981,52.0,0.062,252.09,18.66,93.83,56.24
17,1982,1.0,0.061,253.43,17.93,90.95,54.44
18,1982,2.0,0.059000000000000004,255.62,16.96,85.31,51.13
19,1982,3.0,0.06,258.56,16.9,74.56,45.73
20,1982,4.0,0.06,261.17,16.45,63.52,39.98
21,1982,5.0,0.061,263.92,15.86,53.34,34.6
22,1982,6.0,0.061,266.49,14.98,47.33,31.15
23,1982,7.0,0.067,268.74,16.43,44.98,30.7
24,1982,8.0,0.075,271.16,19.05,41.14,30.09
25,1982,9.0,0.085,273.95,21.44,37.05,29.24
26,1982,10.0,0.1,276.91,24.64,33.62,29.13
27,1982,11.0,0.111,279.06,23.98,35.94,29.96
28,1982,12.0,0.127,280.96,23.95,37.36,30.66
29,1982,13.0,0.141,282.17,21.25,37.52,29.38
30,1982,14.0,0.155,282.49,16.17,44.55,30.36
31,1982,15.0,0.162,282.36,9.71,56.11,32.91
32,1982,16.0,0.18100000000000002,282.74,7.95,65.55,36.75
